otomotik otomatik
sonucta sonuçta
burdan buradan
saftrik saftirik
kove Kore
buyük büyük
ballon balon
geldii geldi
falk falken
stones Stone
kings King
prestige prestije
newt Newton
moturu motor
ange Angel
amerikada Amerika'da
şekspir Shakespeare
battat Battal
aperatif aperitif
ustelik üstelik
ekinen ekilen
olduğı olduğu
nerdesin neredesin
usulu usulü
clair Claire
hatt hatta
mot motor
arabas arabası
ric rica
performası performansı
ailelelere ailelere
ultimatom ültimatom
kaliyor kalıyor
iler ileri
simulasyon simülasyon
hur hür
istediim istediğim
resort Resort'u
dışarlarda dışarı
avangard avangart
karızma karizma
mahsülü mahsulü
skins skin
otoparkda otoparkta
genova Geneva
sunda şunda
gens geniş
pekte pek
özellkle özellikle
esktra ekstra
omuza omza
pier Pierre
fizksel fiziksel
tropic tropik
jonny Johnny
rağman rağmen
deildi değildi
gena fena
sahnesınde sahnesinde
yava tava
şahış şahıs
üzre üzere
vejeteryan vejetaryen
surf sörf
sebeb sebep
michell Michelle
gan Gana
powers Power
aslinda aslında
yk yok
decek edecek
nerdeyse neredeyse
mevkii mevkisi
hark harf
yi yıl
masters Master
kaska kask
uslupla üslupla
osla Oslo
bites vites
harc harç
menun menün
belirtiğimiz belirttiğimiz
sömestr sömestir
yukarda yukarıda
istedigi istediği
titans titan
manzaları manzaraları
horton hortum
cass Cas
mahfediyor mahvediyor
open öpen
büftek biftek
heyacan heyecan
aşil asil
taneri Taner
harkulade harikulade
gzel güzel
konsunda konusunda
mccarty Mccarthy
ınden inden
hakkaten hakikaten
asprin aspirin
hissetirmek hissettirmek
kişik kısık
hakkındakı hakkındaki
sü su
orjinal orijinal
tarafindan tarafından
stefen Stefan
tamami tamamı
kesinlike kesinlikle
banane banana
espiriler espriler
durumuda durumunda
manu manuel
duva duvar
umrunda umurunda
çoğrafi coğrafi
devr devir
care çare
trekker trekking
srekli sürekli
kopu kop
dersane dershane
paca paça
sundan şundan
tadlar tatlar
çarpraz çapraz
avant avans
jeniffer Jennifer
aahh ah
gerçekletirirken gerçekleştirirken
diyince deyince
lyrics Lyric
smiths Smith
citti cildi
tati tatil
haraket hareket
yard yardım
miz mi
suz süz
insanlarn insanların
müzdarip muzdarip
meadows Meadow
testesteron testosteron
mültimedya multimedya
dolor dolar
calışıyor çalışıyor
hang hangi
ordan oradan
canti jantı
hot Hotel
hissetiren hissettiren
kaca kaça
virus virüs
flore flora
yiyiyor yiyor
kalvaltı kahvaltı
patten paten
kun kum
yonetmen yönetmen
chanell Chanel
kapşonlu kapüşonlu
missisippi mississippi
makinesı makinesi
cum cuma
kafami kafamı
hamm hamam
klüp kulüp
yapt yaptı
çukulata çikolata
olabiir olabilir
zak uzak
gran Grand
bilimum bilumum
mağden maden
maka makam
lights light
bahadir bahadır
bbe bebek
saiko Seiko
kraken kraker
cano Canon
legends Legend
malesef maalesef
word World
getiryor getiriyor
olduu olduğu
küçüçük küçücük
dern dernek
generel general
larda Lara
örn örnek
çoçuğunu çocuğunu
ksm kasım
yemeğ yemeği
alköl alkol
espirili esprili
mais Maisie
atip atıp
uslübu üslubu
belirtiğim belirttiğim
behr beher
hakk hakkı
fotografı fotoğrafı
came camekan
alis alış
absürd absürt
marty martı
barman barmen
srf sırf
birka birkaç
dogru doğru
piere Pierre
pla plaj
moto motosiklet
rünler ürünler
çesitli çeşitli
klübünde kulübünde
konrol kontrol
sanayii sanayi
çaglar çağlar
geen gelen
müdahele müdahale
geek gerek
çoçuklara çocuklara
raff raf
ihtiyac ihtiyaç
kulubesi kulübesi
gösterek göstererek
yuval tuval
leone Leon
artk artık
tamak damak
süprizlerle sürprizlerle
nele neler
şöforü şoförü
kurç hurç
tamamiyle tamamıyla
peppers Pepper
ejderya ejderha
smit Smith
personal personel
nerden nereden
russo Rousseau
müdahelede müdahalede
yaratti yarattı
orjinalden orijinalden
plav pilav
metodlar metot
zellikle özellikle
yonlendirmesi yönlendirmesi
oz öz
vampires vampire
verdigi verdiği
alatlı aletli
gercek gerçek
or ora
op öp
eyre yere
gruplari grupları
yanlız yalnız
lazm lazım
yakn yakın
kou koku
kos koş
haha daha
nerde nerede
doal doğal
deng denk
nun un
aamir amir
yiğeni yeğeni
sergiledigi sergilediği
dena fena
nu numara
kebab kebap
lüküs lüks
hic hiç
olduça oldukça
party parti
rice rica
pure püre
salli şallı
cok çok
venus Venüs
diper diğer
rahatsz rahatsız
tale talep
stars star
from forma
yapcak yapacak
dianna Diana
beecham Beckham
özellile özellikle
gerekmetedir gerekmektedir
refakatçılık refakatçilik
klüpleri kulüpleri
corman çorman
eroglu Eroğlu
mak mal
dunyanın dünyanın
tika tıka
sını sınıf
mad madde
heman hemen
kaale kale
pegasus Pegasus'ta
maa ama
berger berjer
drek direk
jovan Jovani
şekile şekilde
ihityacımız ihtiyacımız
olucak olacak
özellike özellikle
muthiş müthiş
allahın Allah'ın
allahım Allah'ım
cosa coşa
rasgele rastgele
orijnal orijinal
herkez herkes
mürettabatı mürettebatı
canki canlı
azndan azından
ayr ayrı
kerr kere
seen sene
hayallerını hayallerini
enid eninde
kz kız
muzo muz
çiflik çiftlik
sradan sıradan
secip seçip
perakande perakende
per perşembe
galina galiba
şovalye şövalye
ıl il
ahiska Ahıska
dunyanin dünyanın
lousiana Louisiana
herkezin herkesin
bügüne bugüne
bazi bazı
lambs lamba
saints Saint
kalifornia Kaliforniya
hektor Hector
ilgli ilgili
varm var
baze bazen
yagi yağ
vari var
police poliçe
hoop hop
ileriki ilerideki
deja dejavu
yaga yağ
kodi kodu
golding holding
ihityacı ihtiyacı
maas maaş
georg George
hissetiriyor hissettiriyor
tarafıdan tarafından
simema sinema
patriots Patriot
yore yöre
tarafındna tarafından
deil değil
oldukca oldukça
fern fren
geçicem geçeceğim
krall kral
alak alaka
açıkca açıkça
priam prime
elekronik elektronik
once önce
bones bonesi
kitab kitap
dozor dozer
scot Scott
komunist komünist
yzden yüzden
başlangıc başlangıç
banliyo banliyö
büber biber
ağızıyla ağzıyla
jeanne Jean
adab adap
gerçekci gerçekçi
kollektif kolektif
lives Live
orjinali orijinali
freida Frida
tamaman tamamen
foy föy
annanne anneanne
lines line
evel evvel
hibir hiçbir
digger diğer
last lastik
fritz fritöz
anima anime
usülü usulü
arks arka
penceler pencereler
çıkiyor çıkıyor
peli pelin
dega defa
senki sanki
dnya dünya
adapt adaptör
üc üç
mevzuu mevzu
its it
hâli hali
umit ümit
moyes mayo
eğlenesi eğlencesi
vardir vardır
cıkmasını çıkmasını
kuvvetlerı kuvvetleri
öncellikle öncelikle
diyalogu diyaloğu
sarwar şalvar
halina haline
çağırılması çağrılması
akıll akıllı
metoo metot
zorında zorunda
fotoraflar fotoğraflar
rust rus
ınsanlardan insanlardan
sayg saygılar
ramen rağmen
kull kullan
marin Marine
mazaret mazeret
metod metot
şanşımız şansımız
merkezı merkezi
topo top
diyaloga diyaloğa
yangin yangın
sper süper
degildir değildir
ordaki oradaki
sahsına şahsına
materyelleri materyalleri
nize bize
harmon hormon
louıs Louis
sürel sürekli
asl asla
havaii Hawaii
burda burada
resm resim
kulanımı kullanımı
sey şey
kulbu kulüp
üzerinen üzerinden
dollar dolar
mahçup mahcup
giri gri
katlmak katılmak
coğunlukla çoğunlukla
kızmızı kızımızı
guevera Guevara
adina adına
fantastık fantastik
yapaken yaparken
profesyönel profesyonel
hakkeden hakeden
olmasi olması
söylerek söyleyerek
cidde ciddi
uslup üslup
fotograf fotoğraf
fakay fakat
numaras numarası
destere testere
imperator imparator
degil değil
fakar fakat
mükkemmel mükemmel
çıkamak çıkmak
yanlışıkla yanlışlıkla
nın nine
kalin kalın
ard arda
çevirilip çevrilip
nına Nina
yaşca yaşça
dialogları diyalogları
kişilk kişilik
ayrca ayrıca
ferreri Ferrari
matata matara
alamancı almancı
aksyon aksiyon
mamma mama
salas salaş
çoçuklar çocuklar
cu bu
janson Johnson
inşaa inşaat
ozkan Özkan
armas arması
rings ring
bird bir
tomi Tommy
ck çok
relax relaks
florasan floresan
vucudunda vücudunda
animason animasyon
çekya çekyat
süprizler sürprizler
süprizi sürprizi
tekabul tekabül
çevirilmiş çevrilmiş
camara kamera
russel Russell
olmasna olmasına
by bu
tum tüm
gülgören Güngören
lux lüks
scoot scooter
palamudu palamut
olabilrdi olabilirdi
mesaji mesajı
bi bir
klübünden kulübünden
luk lüks
çekilde şekilde
satt saat
fia Fiat
duk dük
gozu gözü
kasedi kaset
dökümanlar dokümanlar
püskü püskül
ozu öz
almamıs almamış
editor editör
gina gına
kurdela kurdele
ac aç
deger değer
mzik müzik
bakımıdan bakımından
inanilmaz inanılmaz
cıkışlı çıkışlı
cizimleri çizimleri
reno Renault
dogan doğan
cetesi çetesi
cat çat
kaplumbağlar kaplumbağalar
chloé Chloe
altnda altında
joni Johnny
çook çok
cal çal
dakka dakika
mıstık mistik
ziyi ziya
melzeme malzeme
diyip deyip
edecektır edecektir
sultans sultan
sira şıra
